,Unnamed: 0,Source,Target,Weight
10429,10429,11-3051.00,11-3051.02,0.00635924266754
10430,10430,11-3051.00,11-3051.04,0.00565849489174
10438,10438,11-3051.00,11-9013.01,0.00672068547973
10449,10449,11-3051.00,11-9051.00,0.00683947619809
10767,10767,11-3051.00,27-1027.00,0.00595076809607
10932,10932,11-3051.00,35-1011.00,0.00351708856693
10950,10950,11-3051.00,37-1012.00,0.0062159548405
11077,11077,11-3051.00,45-1011.06,0.00575381168468
11079,11079,11-3051.00,45-1011.08,0.00657670250826
11370,11370,11-3051.01,11-3051.02,0.00460437002265
11371,11371,11-3051.01,11-3051.04,0.00497061913329
11380,11380,11-3051.01,11-9013.02,0.00632551106109
11381,11381,11-3051.01,11-9013.03,0.00611625753592
12018,12018,11-3051.01,45-1011.06,0.00599423517847
12020,12020,11-3051.01,45-1011.08,0.00702991271809
12311,12311,11-3051.02,11-3051.04,0.0029491051788
12320,12320,11-3051.02,11-9013.02,0.00383124424558
12433,12433,11-3051.02,17-1022.00,0.00718701928094
12958,12958,11-3051.02,45-1011.06,0.00436731537589
12959,12959,11-3051.02,45-1011.07,0.00541736534162
12960,12960,11-3051.02,45-1011.08,0.00435553016514
12970,12970,11-3051.02,45-4011.00,0.00645823397954
12975,12975,11-3051.02,47-1011.03,0.00704548350128
13035,13035,11-3051.02,49-1011.00,0.00702285689491
13221,13221,11-3051.02,53-5021.01,0.00547883298119
13259,13259,11-3051.04,11-9013.02,0.00484823984622
13260,13260,11-3051.04,11-9013.03,0.00659814320287
13897,13897,11-3051.04,45-1011.06,0.00455947049463
13898,13898,11-3051.04,45-1011.07,0.00682836078629
13899,13899,11-3051.04,45-1011.08,0.00592721529185
14190,14190,11-3061.00,11-3071.01,0.00640246224547
14195,14195,11-3061.00,11-3131.00,0.00460209678929
14200,14200,11-3061.00,11-9031.00,0.0068985959686
14201,14201,11-3061.00,11-9032.00,0.00688268775248
14203,14203,11-3061.00,11-9039.01,0.00570191410188
14209,14209,11-3061.00,11-9071.00,0.00330060687914
14215,14215,11-3061.00,11-9131.00,0.0036199610989
14216,14216,11-3061.00,11-9141.00,0.00695331106503
14255,14255,11-3061.00,13-1199.04,0.00635739051977
14520,14520,11-3061.00,27-1022.00,0.00646723069981
14527,14527,11-3061.00,27-2012.01,0.00582807523432
14718,14718,11-3061.00,39-1021.01,0.00678740501065
14747,14747,11-3061.00,41-1011.00,0.00483087832086
14771,14771,11-3061.00,43-1011.00,0.00400361768047
15129,15129,11-3071.01,11-3071.03,0.00574931501765
15130,15130,11-3071.01,11-3111.00,0.00683626611024
15131,15131,11-3071.01,11-3121.00,0.00535335575463
15152,15152,11-3071.01,11-9131.00,0.00680726077771
15154,15154,11-3071.01,11-9151.00,0.00549336773766
15155,15155,11-3071.01,11-9161.00,0.0050668127844
15180,15180,11-3071.01,13-1081.00,0.00651611036744
15196,15196,11-3071.01,13-2011.02,0.00672115740514
15233,15233,11-3071.01,15-1199.09,0.00546933734113
15353,15353,11-3071.01,19-3099.01,0.00645772254926
15383,15383,11-3071.01,21-2021.00,0.00655799072606
